2019-03-07 22:29:04,POM-CLARKV429-AP205-22,1
2019-03-07 22:29:04,POM-CLARKV432-AP205-5,1
2019-03-07 22:29:04,POM-CLARKV447-AP205-15,4
2019-03-07 22:29:04,POM-CLARKV474-AP205-13,1
2019-03-07 22:29:04,POM-CROOKSHANK002-AP205-2,3
2019-03-07 22:29:04,POM-CROOKSHANK008-AP205-4,5
2019-03-07 22:29:04,POM-CROOKSHANK010-AP205-1,2
2019-03-07 22:29:04,POM-CROOKSHANK101-AP205-24,2
2019-03-07 22:29:04,POM-CROOKSHANK207-AP205-7,4
2019-03-07 22:29:04,POM-CROOKSHANK210-AP205-3,2
2019-03-07 22:29:04,POM-DRAPER100-AP205-23,1
2019-03-07 22:29:04,POM-FRARY-DR-AP215-17,12
2019-03-07 22:29:04,POM-FRARY-DR-AP215-22,5
2019-03-07 22:29:04,POM-FRARY115-AP205-21,9
2019-03-07 22:29:04,POM-GIBSON408-AP205-4,2
2019-03-07 22:29:04,POM-GIBSON410-AP205-2,1
2019-03-07 22:29:04,POM-GROUNDS-AP135-1,1
2019-03-07 22:29:04,POM-GROUNDS-AP135-2,1
2019-03-07 22:29:04,POM-GROUNDS-AP135-3,1
2019-03-07 22:29:04,POM-GROUNDS-AP135-5,1
2019-03-07 22:29:04,POM-GROUNDS-AP135-6,1
2019-03-07 22:29:04,POM-GROUNDS-AP135-9,2
2019-03-07 22:29:04,POM-HAHN103-AP205-19,1
2019-03-07 22:29:04,POM-HAHN107-AP215-5,1
2019-03-07 22:29:04,POM-HAHN108-AP215-1,1
2019-03-07 22:29:04,POM-HAHN205-AP205-11,1
2019-03-07 22:29:04,POM-ITB105-AP225-4,14
2019-03-07 22:29:04,POM-ITB113-AP225-5,4
2019-03-07 22:29:04,POM-ITB121-AP215-1,25
2019-03-07 22:29:04,POM-ITB121-AP225-2,14
2019-03-07 22:29:04,POM-KENYON100-AP205-47,13
2019-03-07 22:29:04,POM-KENYON200-AP205-26,10
2019-03-07 22:29:04,POM-LAWRY-A12-AP205-11,1
2019-03-07 22:29:04,POM-LAWRY-B35-AP205-8,1
2019-03-07 22:29:04,POM-LEB-E101-AP215-23,1
2019-03-07 22:29:04,POM-LEB-E114-AP205-24,17
2019-03-07 22:29:04,POM-LEB-E136-AP205-21,1
2019-03-07 22:29:04,POM-LEB-E219-AP205-20,13
2019-03-07 22:29:04,POM-LEB-E227-AP215-19,31
2019-03-07 22:29:04,POM-LEB-E248-AP215-18,4
2019-03-07 22:29:04,POM-LEB-EBCS-AP105-17,1
2019-03-07 22:29:04,POM-LEB-L1121-AP205-24,8
2019-03-07 22:29:04,POM-LEB-L1125-AP215-9,2
2019-03-07 22:29:04,POM-LEB-L1135-AP215-24,2
2019-03-07 22:29:04,POM-LEB-L2148-AP205-23,11
2019-03-07 22:29:04,POM-LEB-L2152-AP205-9,3
2019-03-07 22:29:04,POM-LEB-L3108-AP215-22,5
2019-03-07 22:29:04,POM-LEB-L3139-AP205-4,2
2019-03-07 22:29:04,POM-LEBUS103-AP205-22,2
2019-03-07 22:29:04,POM-LEBUS201-AP205-18,1
2019-03-07 22:29:04,POM-LEBUS217-AP205-12,1
2019-03-07 22:29:04,POM-MASON003-AP205-1,6
2019-03-07 22:29:04,POM-MASON005-AP205-2,38
2019-03-07 22:29:04,POM-MASON011-AP205-3,5
2019-03-07 22:29:04,POM-MASON013-AP205-20,11
2019-03-07 22:29:04,POM-MASON019-AP205-4,46
2019-03-07 22:29:04,POM-MASON023-AP205-5,16
2019-03-07 22:29:04,POM-MASON100-AP205-11,7
2019-03-07 22:29:04,POM-MASON101-AP205-6,2
2019-03-07 22:29:04,POM-MASON106-AP205-7,3
2019-03-07 22:29:04,POM-MASON122-AP205-10,2
2019-03-07 22:29:04,POM-MASON209-AP205-13,1
2019-03-07 22:29:04,POM-MASON232-AP205-16,3
2019-03-07 22:29:04,POM-MCCARTHY-AP135-22,1
2019-03-07 22:29:04,POM-MCCARTHY-AP135-23,5
2019-03-07 22:29:04,POM-MILLIKAN0005-AP205-1,2
2019-03-07 22:29:04,POM-MILLIKAN0059-AP205-4,3
2019-03-07 22:29:04,POM-MILLIKAN0103-AP205-6,1
2019-03-07 22:29:04,POM-MILLIKAN0103-AP205-7,2
2019-03-07 22:29:04,POM-MILLIKAN0137-AP205-8,1
2019-03-07 22:29:04,POM-MILLIKAN0251-AP205-10,3
2019-03-07 22:29:04,POM-MILLIKAN0269-AP205-11,7
2019-03-07 22:29:04,POM-MILLIKAN1019-AP205-13,1
2019-03-07 22:29:04,POM-MILLIKAN1091-AP205-16,2
2019-03-07 22:29:04,POM-MILLIKAN1097-AP205-17,9
2019-03-07 22:29:04,POM-MILLIKAN1117-AP205-18,1
2019-03-07 22:29:04,POM-MILLIKAN1153-AP205-19,1
2019-03-07 22:29:04,POM-MILLIKAN1163-AP205-20,10
2019-03-07 22:29:04,POM-MILLIKAN1181-AP205-21,21
2019-03-07 22:29:04,POM-MILLIKAN1277-AP205-26,12
2019-03-07 22:29:04,POM-MILLIKAN1291-AP205-28,1
2019-03-07 22:29:04,POM-MILLIKAN1303-AP205-29,2
2019-03-07 22:29:04,POM-MILLIKAN2141-AP205-27,3
2019-03-07 22:29:04,POM-MILLIKAN2341-AP205-25,2
2019-03-07 22:29:04,POM-MILLIKAN2357-AP205-29,3
2019-03-07 22:29:04,POM-MILLIKAN2993-AP205-33,5
2019-03-07 22:29:04,POM-MUSEUM101-AP205-23,1
2019-03-07 22:29:04,POM-MUSEUM105-AP205-20,1
2019-03-07 22:29:04,POM-MUSEUM108-AP205-19,1
2019-03-07 22:29:04,POM-MUSEUM117-AP205-4,1
2019-03-07 22:29:04,POM-NORTON12-AP205-13,5
2019-03-07 22:29:04,POM-NORTON18-AP205-24,9
2019-03-07 22:29:04,POM-NORTON23-AP205-17,4
2019-03-07 22:29:04,POM-NORTON24-AP205-22,5
2019-03-07 22:29:04,POM-NORTON34-AP205-14,6
2019-03-07 22:29:04,POM-NORTON5-AP205-19,4
2019-03-07 22:29:04,POM-OLDENBORG-B26-AP205-47,4
2019-03-07 22:29:04,POM-OLDENBORG106-AP205-29,1
2019-03-07 22:29:04,POM-OLDENBORG110-AP205-13,1
2019-03-07 22:29:04,POM-OLDENBORG115-AP205-30,1
2019-03-07 22:29:04,POM-OLDENBORG120-AP205-2,1
2019-03-07 22:29:04,POM-OLDENBORG131-AP205-8,2
2019-03-07 22:29:04,POM-OLDENBORG133-AP205-7,1
2019-03-07 22:29:04,POM-OLDENBORG139-AP205-28,1
2019-03-07 22:29:04,POM-OLDENBORG1S-AP205-24,1
2019-03-07 22:29:04,POM-OLDENBORG202-AP205-9,1
2019-03-07 22:29:04,POM-OLDENBORG203-AP205-10,2
